Time,Gx,Gy,Gz,Ax,Ay,Az
1532053096,-0.86328125,0.623199463,-0.106079102,0.746460618,-1.538326534,-2.365270543
1532053096,-0.724273682,0.737976074,-0.188476563,-0.624668402,-0.060836453,-0.609147499
1532053097,-1.275772095,0.739715576,0.060897827,4.448313122,-2.098856164,5.009444893
1532053097,-0.891265869,0.546310425,-0.216430664,0.499694242,2.322642389,1.286267658
1532053097,-1.37449646,0.860214233,-0.132614136,0.43034313,-0.014656707,0.156151255
1532053097,-0.948822021,0.792160034,-0.304946899,0.099405151,-1.062684632,-2.023408277
1532053097,-0.409942627,0.502151489,-0.149856567,0.656950708,-3.300331968,-3.102127536
1532053098,-0.919265747,0.879043579,0.004653931,-1.459959557,0.444651762,-0.175702586
1532053098,-1.24017334,0.587738037,0.027709961,-1.802376027,1.385078391,4.81203062
1532053098,-0.979919434,0.451812744,-0.397186279,-1.63648932,1.337159069,1.293780435
1532053098,-1.573638916,0.788818359,-0.088241577,1.194765704,-0.419007119,0.886721323
1532053098,-1.177154541,0.994415283,-0.194091797,0.66794983,-0.442015499,-3.2664001
1532053099,-0.485046387,0.465194702,-0.114273071,0.362773407,-0.278832966,-2.916492425
1532053099,-0.976593018,0.795318604,-0.225769043,-0.42217415,-0.243811865,-0.091597561
1532053099,-1.248748779,0.445892334,-0.042297363,-0.683288306,0.572276567,3.158570572
1532053099,-0.978164673,0.560150146,-0.259277344,0.883420335,2.17767428,2.129222059
1532053099,-1.323272705,0.805892944,-0.231292725,0.79564654,-0.158576862,0.060489709
1532053100,-1.055206299,0.756515503,-0.273452759,0.296145644,-2.595592698,-2.136422714
1532053100,-0.552474976,0.59487915,-0.263244629,-0.141446877,-0.445603576,-3.214694029
1532053100,-0.897506714,0.704116821,-0.144165039,-0.401753297,-0.020262661,-0.636032909
1532053100,-1.496307373,0.73097229,-0.217330933,-0.8345982,1.245269092,3.448434351
1532053100,-1.030380249,0.56489563,-0.419403076,0.23386629,1.349238368,0.93688356
1532053101,-1.548233032,0.650482178,-0.115219116,1.460420284,0.171364829,0.750813555
1532053101,-1.043380737,0.810516357,-0.446548462,-1.981550043,1.105417981,-3.368660692
1532053101,-0.693466187,0.558761597,-0.181060791,0.972598414,-0.922390371,-2.708737896
1532053101,-0.544906616,0.672409058,-0.036804199,-0.341213786,0.306277374,-1.529839306
1532053101,-1.44619751,0.962295532,-0.047821045,0.404068649,0.24972861,4.747483052
1532053102,-0.806167603,0.532333374,-0.189758301,-1.210505519,-0.05175534,2.72542047
1532053102,-1.380493164,0.733673096,-0.337509155,-0.13525849,0.316653316,-0.144431748
1532053102,-1.007492065,0.922943115,-0.336761475,1.814323234,-1.450684832,-2.563198806
1532053102,-0.439666748,0.499099731,-0.171035767,0.719426603,-0.21545639,-3.849178576
1532053102,-0.85383606,0.887741089,-0.220428467,0.133935698,-0.355261695,0.017898307
1532053103,-1.217056274,0.486679077,-0.017593384,1.8557013,0.095957955,3.444217768
1532053103,-0.8203125,0.495361328,-0.072616577,-0.061799718,1.892878496,0.60465235
1532053103,-1.30947876,0.73840332,-0.133621216,0.359023676,-0.132795066,0.234215697
1532053103,-0.874923706,0.681152344,-0.272079468,-0.351883741,-0.758020068,-2.697540369
1532053103,-0.533294678,0.406921387,-0.092834473,0.90667053,-0.110887104,-2.383135294
1532053104,-1.007492065,0.773101807,-0.129699707,-0.022855248,-0.257169749,0.131618481
1532053104,-1.147613525,0.68510437,0.114822388,0.371599922,0.473447724,2.433318037
1532053104,-1.682998657,-0.064422607,1.005981445,-0.121126159,0.881570503,0.6223653
1532053104,-1.568283081,0.410293579,0.015472412,-1.402984421,0.508844331,-0.734628193
